Date,MarketCap,Volume,Price,,
2024-05-09,"$316,723,421","$1,816,598",4.125,,
2024-05-08,"$326,168,649","$2,371,980",3.855,,
2024-05-07,"$337,013,230","$7,401,869",3.985,,
2024-05-06,"$337,910,158","$2,768,980",4.06,,
2024-05-05,"$282,821,127","$1,763,829",3.74,,
2024-05-04,"$291,425,719","$1,375,934",3.455,,
2024-05-03,"$264,978,551","$1,612,981",3.335,,
2024-05-02,"$266,360,655","$2,916,638",3.185,,
2024-05-01,"$263,323,864","$2,183,491",3.175,,
2024-04-30,"$267,376,655","$1,092,877",3.185,,
2024-04-29,"$280,087,531","$1,056,732",3.28,,
2024-04-28,"$305,267,768","$2,166,228",3.505,,
2024-04-27,"$262,309,664","$1,141,379",3.405,,
2024-04-26,"$273,042,893","$2,167,573",3.21,,
2024-04-25,"$302,201,719","$2,327,564",3.45,,
2024-04-24,"$341,409,171","$1,749,944",3.86,,
2024-04-23,"$344,885,967","$1,519,811",4.11,,
2024-04-22,"$339,003,560","$2,067,707",4.1,,
2024-04-21,"$358,012,768","$3,220,795",4.185,,
2024-04-20,"$353,927,464","$5,319,651",4.255,,
2024-04-19,"$334,487,541","$2,260,263",4.11,,
2024-04-18,"$287,925,429","$3,028,515",3.73,,
2024-04-17,"$328,321,776","$2,517,167",3.695,,
2024-04-16,"$300,797,206","$5,445,651",3.79,,
2024-04-15,"$302,494,507","$3,565,967",3.64,,
2024-04-14,"$298,015,472","$6,248,095",3.595,,
2024-04-13,"$259,151,956","$4,342,703",3.33,,
2024-04-12,"$294,396,238","$3,165,871",3.305,,
2024-04-11,"$276,937,845","$1,750,375",3.41,,
2024-04-10,"$252,033,046","$1,983,345",3.17,,
2024-04-09,"$256,189,386","$2,499,838",3.045,,
2024-04-08,"$263,606,973","$2,000,635",3.115,,
2024-04-07,"$297,935,595","$1,578,396",3.255,,
2024-04-06,"$292,346,112","$2,598,632",3.425,,
2024-04-05,"$313,353,916","$1,735,175",3.63,,
2024-04-04,"$347,054,539","$2,149,122",3.96,,
2024-04-03,"$317,963,232","$1,645,842",3.98,,
2024-04-02,"$343,371,702","$2,216,106",3.955,,
2024-04-01,"$365,530,367","$1,328,605",4.245,,
2024-03-31,"$381,843,119","$2,794,394",4.48,,
2024-03-30,"$365,082,614","$2,541,944",4.48,,
2024-03-29,"$359,582,296","$4,516,501",4.345,,
2024-03-28,"$383,149,039","$5,186,903",4.46,,
2024-03-27,"$417,418,471","$2,170,200",4.81,,
2024-03-26,"$434,971,520","$5,978,795",5.115,,
2024-03-25,"$422,310,603","$2,683,763",5.14,,
2024-03-24,"$408,490,130","$2,270,198",4.98,,
2024-03-23,"$412,571,969","$3,385,693",4.925,,
2024-03-22,"$419,344,984","$2,827,579",4.985,,
2024-03-21,"$474,858,113","$3,207,070",5.35,,
2024-03-20,"$417,525,486","$5,661,231",5.33,,
2024-03-19,"$497,093,448","$4,830,614",5.46,,
2024-03-18,"$530,179,366","$7,672,677",6.14,,
2024-03-17,"$430,867,635","$5,915,178",5.755,,
2024-03-16,"$472,340,962","$5,172,241",5.415,,
2024-03-15,"$443,900,413","$6,876,258",5.49,,
2024-03-14,"$482,437,797","$3,675,877",5.48,,
2024-03-13,"$506,288,808","$4,795,499",5.85,,
2024-03-12,"$544,921,290","$4,400,679",6.295,,
2024-03-11,"$533,291,808","$3,498,770",6.46,,
2024-03-10,"$552,116,675","$3,827,300",6.505,,
2024-03-09,"$565,838,900","$5,754,906",6.695,,
2024-03-08,"$611,448,296","$11,496,494",7.05,,
2024-03-07,"$586,975,617","$11,235,811",7.165,,
2024-03-06,"$419,569,519","$4,853,183",6.03,,
2024-03-05,"$442,623,160","$5,205,265",5.195,,
2024-03-04,"$474,495,998","$5,487,153",5.51,,
2024-03-03,"$440,457,964","$3,252,748",5.49,,
2024-03-02,"$486,158,716","$8,161,951",5.555,,
2024-03-01,"$452,098,815","$10,362,849",5.62,,
2024-02-29,"$509,565,801","$10,276,793",5.77,,
2024-02-28,"$545,853,845","$9,884,832",6.335,,
2024-02-27,"$501,550,849","$10,751,863",6.28,,
2024-02-26,"$394,557,786","$3,961,676",5.37,,
2024-02-25,"$394,196,970","$3,386,063",4.73,,
2024-02-24,"$366,048,551","$7,703,706",4.55,,
2024-02-23,"$323,903,919","$3,563,791",4.125,,
2024-02-22,"$284,562,198","$2,455,063",3.645,,
2024-02-21,"$265,739,217","$2,813,774",3.3,,
2024-02-20,$0.000000000000000000,"$1,130,156",3.31,,
2024-02-19,$0.000000000000000000,"$2,123,458",3.595,,
2024-02-18,$0.000000000000000000,"$2,211,673",3.63,,
2024-02-17,$0.000000000000000000,"$2,631,961",3.615,,
2024-02-16,$0.000000000000000000,"$5,048,447",3.775,,
2024-02-15,$0.000000000000000000,"$4,194,906",3.67,,
2024-02-14,$0.000000000000000000,"$3,060,077",3.345,,
2024-02-13,$0.000000000000000000,"$4,771,451",3.22,,
2024-02-12,$0.000000000000000000,"$5,657,933",3.09,,
2024-02-11,$0.000000000000000000,"$1,938,253",2.455,,
2024-02-10,$0.000000000000000000,"$736,101",1.81,,
2024-02-09,$0.000000000000000000,"$805,136",1.635,,
2024-02-08,$0.000000000000000000,"$1,559,911",1.63,,
2024-02-07,$0.000000000000000000,"$622,174",1.5,,
2024-02-06,$0.000000000000000000,"$606,549",1.425,,
2024-02-05,$0.000000000000000000,"$700,601",1.475,,
2024-02-04,$0.000000000000000000,"$541,708",1.49,,
2024-02-03,$0.000000000000000000,"$1,672,455",1.5,,
2024-02-02,$0.000000000000000000,"$1,692,845",1.545,,
2024-02-01,$0.000000000000000000,"$1,625,278",1.475,,
2024-01-31,$0.000000000000000000,"$933,216",1.425,,
2024-01-30,$0.000000000000000000,"$2,056,935",1.535,,
